new,current
"{'hash_id': '085d2a6913ba63f8d01d7d3c9116af0b790c4930de79d1b2f39b6283', 'postal_code': 'CA', 'company': 'MMT Craft, LLC, dba Modern Times Beer & Coffee', 'location': '3725 Greenwood Street  San Diego CA 92110', 'notice_date': '2024-09-06', 'effective_date': '2024-11-06', 'jobs': '55', 'is_temporary': '', 'is_closure': 'True', 'is_amendment': 'False'}","{'hash_id': 'e48f1a5ffccdf2c9325b620ba9e2cd355361545ffb757559155c1314', 'first_inserted_date': datetime.datetime(2024, 9, 12, 0, 43, 8, 891411, tzinfo=datetime.timezone.utc), 'notice_date': '2024-09-06', 'effective_date': '2024-11-06', 'postal_code': 'CA', 'company': 'MMT Craft, LLC, dba Modern Times Beer & Coffee', 'location': '3725 Greenwood Street  San Diego CA 92110', 'jobs': '47', 'is_closure': 'True', 'is_temporary': '', 'is_superseded': 'False', 'is_amendment': 'False', 'likely_ancestor': '', 'estimated_amendments': 0, 'last_updated_date': datetime.datetime(2024, 9, 12, 0, 43, 8, 891411, tzinfo=datetime.timezone.utc)}"
"{'hash_id': '83752bfe63036908625ba1f74a879a3b45ae9eedd880b406dc9ace97', 'postal_code': 'CA', 'company': 'Conrad Employer LLC', 'location': '100 South Grand Avenue, Suite 1  Los Angeles CA 90012', 'notice_date': '2024-09-10', 'effective_date': '2024-11-13', 'jobs': '47', 'is_temporary': '', 'is_closure': '', 'is_amendment': 'False'}","{'hash_id': 'ed6b347b4084392123052e6e988fbf5113aa07ea672d1233dde970da', 'first_inserted_date': datetime.datetime(2024, 9, 12, 19, 30, 12, 998677, tzinfo=datetime.timezone.utc), 'notice_date': '2024-09-10', 'effective_date': '2024-11-13', 'postal_code': 'CA', 'company': 'Conrad Employer LLC', 'location': '100 South Grand Avenue, Suite 1 Los Angeles CA 90012', 'jobs': '47', 'is_closure': '', 'is_temporary': '', 'is_superseded': 'False', 'is_amendment': 'False', 'likely_ancestor': '', 'estimated_amendments': 0, 'last_updated_date': datetime.datetime(2024, 9, 12, 19, 30, 12, 998677, tzinfo=datetime.timezone.utc)}"
"{'hash_id': '4d16898ead41011116dadb0c3f7e3dc18c304cdaf609e1f9d4689c55', 'postal_code': 'CA', 'company': 'Distribution Alternatives, Inc.', 'location': '18012 Slover Avenue  Bloomington CA 92316', 'notice_date': '2024-09-10', 'effective_date': '2024-11-11', 'jobs': '5', 'is_temporary': '', 'is_closure': '', 'is_amendment': 'False'}","{'hash_id': 'e619d19b238b204b8e71cd0bc3b1575316144bb3d21c64b1e743502c', 'first_inserted_date': datetime.datetime(2023, 10, 26, 19, 13, 9, 135687, tzinfo=datetime.timezone.utc), 'notice_date': '2024-09-10', 'effective_date': '2024-11-11', 'postal_code': 'CA', 'company': 'Distribution Alternatives, Inc.', 'location': '18012 Slover Avenue Bloomington CA 92316', 'jobs': '5', 'is_closure': '', 'is_temporary': '', 'is_superseded': 'False', 'is_amendment': 'True', 'likely_ancestor': '7c42a1c2d1244f621f9ce458ef2f74455ba261bc821b1c3d6b037106', 'estimated_amendments': 3, 'last_updated_date': datetime.datetime(2024, 9, 12, 19, 30, 12, 998677, tzinfo=datetime.timezone.utc)}"
"{'hash_id': '14804d84f4ffd4767811622b13bc91286e271d9467605c665d436466', 'postal_code': 'CA', 'company': 'Qualcomm Incorporated', 'location': '5775 Morehouse Drive  San Diego CA 92121', 'notice_date': '2024-09-10', 'effective_date': '2024-11-12', 'jobs': '226', 'is_temporary': '', 'is_closure': '', 'is_amendment': 'False'}","{'hash_id': 'b16c1a8ec3475377c12e04ed3765da0d5934fe06da18cfbfc3199eb9', 'first_inserted_date': datetime.datetime(2024, 9, 12, 19, 30, 12, 998677, tzinfo=datetime.timezone.utc), 'notice_date': '2024-09-10', 'effective_date': '2024-11-12', 'postal_code': 'CA', 'company': 'Qualcomm Incorporated', 'location': '5775 Morehouse Drive San Diego CA 92121', 'jobs': '226', 'is_closure': '', 'is_temporary': '', 'is_superseded': 'False', 'is_amendment': 'False', 'likely_ancestor': '', 'estimated_amendments': 0, 'last_updated_date': datetime.datetime(2024, 9, 12, 19, 30, 12, 998677, tzinfo=datetime.timezone.utc)}"
"{'hash_id': 'f0611c1aac73862c8b981010f5e07f1b8f12d8789fd7f386881b76c4', 'postal_code': 'CA', 'company': 'Snohetta Architecture Landscape Architecture PC', 'location': '632 Commercial St 4th Floor  San Francisco CA 94111', 'notice_date': '2024-09-09', 'effective_date': '2024-12-23', 'jobs': '5', 'is_temporary': '', 'is_closure': 'True', 'is_amendment': 'False'}","{'hash_id': 'edef1a16521b0919bed7a03545fb881a5d3566d3f2b44a5e5a0bb9be', 'first_inserted_date': datetime.datetime(2024, 9, 12, 19, 30, 12, 998677, tzinfo=datetime.timezone.utc), 'notice_date': '2024-09-09', 'effective_date': '2024-12-23', 'postal_code': 'CA', 'company': 'Snohetta Architecture Landscape Architecture PC', 'location': '632 Commercial St 4th Floor San Francisco CA 94111', 'jobs': '5', 'is_closure': 'True', 'is_temporary': '', 'is_superseded': 'False', 'is_amendment': 'False', 'likely_ancestor': '', 'estimated_amendments': 0, 'last_updated_date': datetime.datetime(2024, 9, 12, 19, 30, 12, 998677, tzinfo=datetime.timezone.utc)}"
"{'hash_id': '6d882183e98871f6572d2858b122e8d9df3f59da494382339778f77a', 'postal_code': 'CA', 'company': 'Biosense Webster Inc.', 'location': '140 Knowles Drive  Los Gatos CA 95032', 'notice_date': '2024-09-09', 'effective_date': '2024-11-21', 'jobs': '13', 'is_temporary': '', 'is_closure': 'True', 'is_amendment': 'False'}","{'hash_id': '430c439e12c44d428db2158fd422ddb41f29c7675955e2fa4b5bf228', 'first_inserted_date': datetime.datetime(2024, 9, 12, 19, 30, 12, 998677, tzinfo=datetime.timezone.utc), 'notice_date': '2024-09-09', 'effective_date': '2024-11-21', 'postal_code': 'CA', 'company': 'Biosense Webster Inc.', 'location': '140 Knowles Drive Los Gatos CA 95032', 'jobs': '13', 'is_closure': 'True', 'is_temporary': '', 'is_superseded': 'False', 'is_amendment': 'False', 'likely_ancestor': '', 'estimated_amendments': 0, 'last_updated_date': datetime.datetime(2024, 9, 12, 19, 30, 12, 998677, tzinfo=datetime.timezone.utc)}"
"{'hash_id': '8d40d5946a3c9afbca5191fa36a39c4e19765cb4cefc48574b0f3a91', 'postal_code': 'CA', 'company': 'Field Controls, LLC', 'location': '9154 Stellar Court  Corona CA 92883', 'notice_date': '2024-09-02', 'effective_date': '2024-09-13', 'jobs': '5', 'is_temporary': '', 'is_closure': 'True', 'is_amendment': 'False'}","{'hash_id': 'ba3bb54d4889ce9fd371d725a133dead12c17a06e3acdedbed898190', 'first_inserted_date': datetime.datetime(2024, 9, 12, 19, 30, 12, 998677, tzinfo=datetime.timezone.utc), 'notice_date': '2024-09-02', 'effective_date': '2024-09-13', 'postal_code': 'CA', 'company': 'Field Controls, LLC', 'location': '9154 Stellar Court Corona CA 92883', 'jobs': '5', 'is_closure': 'True', 'is_temporary': '', 'is_superseded': 'False', 'is_amendment': 'False', 'likely_ancestor': '', 'estimated_amendments': 0, 'last_updated_date': datetime.datetime(2024, 9, 12, 19, 30, 12, 998677, tzinfo=datetime.timezone.utc)}"
"{'hash_id': 'bbd595b257487c02bda85068a4bfb3ac60bf8cbb23c30573a19cc520', 'postal_code': 'CA', 'company': 'GXO Logistics Supply Chain, Inc.', 'location': '3520 Cactus Avenue  Bloomington CA 92316', 'notice_date': '2024-09-12', 'effective_date': '2024-11-14', 'jobs': '114', 'is_temporary': '', 'is_closure': '', 'is_amendment': 'False'}","{'hash_id': 'cf68c7359ceed527447146710b9493bcfc95245cb6e4f5c73ac952bd', 'first_inserted_date': datetime.datetime(2022, 4, 8, 0, 21, 19, 261025, tzinfo=datetime.timezone.utc), 'notice_date': '2022-03-14', 'effective_date': '2022-05-14', 'postal_code': 'CA', 'company': 'GXO Logistics Supply Chain Inc.', 'location': '', 'jobs': '139', 'is_closure': 'True', 'is_temporary': '', 'is_superseded': 'False', 'is_amendment': 'True', 'likely_ancestor': '54ea735fbfc87c398f1165f4a97c4c45a82d2d2442fb2f41be1f5292', 'estimated_amendments': 1, 'last_updated_date': datetime.datetime(2022, 7, 3, 23, 53, 18, 179166, tzinfo=datetime.timezone.utc)}"
"{'hash_id': '2fded29d16cde1f702baf351e59753d1d943706ee203a67f8324031c', 'postal_code': 'CA', 'company': 'ITC Federal', 'location': '24000 Avila Road  Laguna Niguel CA 92677', 'notice_date': '2024-09-13', 'effective_date': '2024-11-15', 'jobs': '31', 'is_temporary': '', 'is_closure': '', 'is_amendment': 'False'}","{'hash_id': '91c2e7004848310726431845d87832117af596900c1188cbeffd72c4', 'first_inserted_date': datetime.datetime(2024, 8, 20, 19, 30, 17, 298557, tzinfo=datetime.timezone.utc), 'notice_date': '2024-08-19', 'effective_date': '2024-10-18', 'postal_code': 'CA', 'company': 'ITC Federal', 'location': '24000 Avila Road  Laguna Niguel CA 92677', 'jobs': '31', 'is_closure': '', 'is_temporary': '', 'is_superseded': 'False', 'is_amendment': 'False', 'likely_ancestor': '', 'estimated_amendments': 0, 'last_updated_date': datetime.datetime(2024, 8, 20, 19, 30, 17, 298557, tzinfo=datetime.timezone.utc)}"
"{'hash_id': '0d959555d534de8e24636166f147023f33822984edc80a54ea7d0d7e', 'postal_code': 'CA', 'company': 'Southwire Company, LLC', 'location': '9199 Cleveland Avenue, Suite 100  Rancho Cucamonga CA 91730', 'notice_date': '2024-09-16', 'effective_date': '2024-12-31', 'jobs': '78', 'is_temporary': '', 'is_closure': 'True', 'is_amendment': 'False'}","{'hash_id': '72640b4ce5b4a13576e0a6a2d7d3167b91ec4b4ffd9c6e9bc778f9d4', 'first_inserted_date': datetime.datetime(2024, 7, 18, 19, 29, 47, 507778, tzinfo=datetime.timezone.utc), 'notice_date': '2024-07-17', 'effective_date': '2024-10-01', 'postal_code': 'CA', 'company': 'Southwire Company, LLC', 'location': '9199 Cleveland Avenue, Suite 100  Rancho Cucamonga CA 91730', 'jobs': '95', 'is_closure': 'True', 'is_temporary': '', 'is_superseded': 'False', 'is_amendment': 'False', 'likely_ancestor': '', 'estimated_amendments': 0, 'last_updated_date': datetime.datetime(2024, 7, 18, 19, 29, 47, 507778, tzinfo=datetime.timezone.utc)}"
